run 0,run 1,run 2
-33.556,-37.1679,-36.7625
-21.4914,-25.9019,-19.8572
-19.0711,-19.0587,-16.2328
-19.4765,-17.8547,-11.4169
-22.29,-20.6681,-11.4169
-20.2751,-18.6532,-11.4169
-23.887,-20.2626,-11.4169
-19.0462,-19.0462,-11.4169
-19.8572,-19.8572,-15.4343
-16.2328,-16.2328,-14.2303
-17.0313,-17.0313,-14.2303
-17.0313,-17.0313,-15.8398
-17.4368,-17.4368,-15.8398
-16.2328,-16.2328,-14.2303
-15.4343,-15.4343,-21.479
-14.2303,-14.2303,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-15.0413,-15.0413,-11.4169
-16.6507,-16.6507,-11.4169
-15.8398,-15.8398,-11.4169
-14.2303,-14.2303,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-14.2303,-14.2303,-11.4169
-11.4169,-11.4169,-11.4169
-14.2303,-14.2303,-11.4169
-11.4169,-11.4169,-15.8398
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-21.0736
-15.0413,-15.0413,-25.1034
-15.8398,-15.8398,-19.8696
-14.2303,-14.2303,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-16.6507
-11.4169,-11.4169,-15.0413
-16.6507,-16.6507,-11.4169
-15.0413,-15.0413,-11.4169
-14.2303,-14.2303,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-15.8398
-11.4169,-11.4169,-14.2303
-15.0413,-15.0413,-11.4169
-11.4169,-11.4169,-11.4169
-19.4641,-19.4641,-11.4169
-17.0562,-17.0562,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-17.4492
-14.2303,-14.2303,-11.4169
-11.4169,-11.4169,-14.2303
-11.4169,-11.4169,-15.4343
-17.4492,-17.4492,-16.2328
-19.0587,-19.0587,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-16.6383,-16.6383,-16.6383
-14.2303,-14.2303,-14.2303
-16.6507,-16.6507,-16.6507
-11.4169,-11.4169,-11.4169
-14.2303,-14.2303,-14.2303
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-15.0413,-15.0413,-15.0413
-16.6507,-16.6507,-16.6507
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-11.4169,-11.4169,-11.4169
-15.8398,-15.8398,-15.8398
-17.4492,-17.4492,-17.4492
